Date,year,month,day,ozone,AOD,RD
150111,2015,1,11,274.0,0.041,10.52
150120,2015,1,20,256.489,0.103,9.33
150127,2015,1,27,267.267,0.134,10.43
150129,2015,1,29,262.889,0.165,10.31
150204,2015,2,4,259.424,0.072,9.82
150209,2015,2,9,279.533,0.907,9.55
150210,2015,2,10,282.378,0.876,9.32
150218,2015,2,18,259.424,0.752,10.45
150221,2015,2,21,281.867,0.984,10.45
150516,2015,5,16,316.622,0.969,9.64
150525,2015,5,25,313.1,0.938,10.78
150713,2015,7,13,297.478,0.382,10.87
150723,2015,7,23,297.667,0.907,9.73
150724,2015,7,24,299.656,0.938,10.71
150727,2015,7,27,287.236,0.876,10.2
150728,2015,7,28,283.3,0.938,10.23
150806,2015,8,6,280.9,0.134,10.83
150807,2015,8,7,294.456,0.258,9.05
150808,2015,8,8,301.567,0.258,9.68
150809,2015,8,9,289.411,0.196,9.18
150810,2015,8,10,284.181,0.227,9.92
150811,2015,8,11,284.767,0.134,10.27
150812,2015,8,12,293.078,0.072,10.99
150813,2015,8,13,283.867,0.103,9.94
151025,2015,10,25,260.191,0.722,9.95
151026,2015,10,26,258.044,0.722,10.62
151027,2015,10,27,260.191,1.0,11.43
151028,2015,10,28,252.767,0.876,10.08
151102,2015,11,2,256.978,0.66,10.54
160116,2016,1,16,285.522,0.722,9.58
160128,2016,1,28,278.367,0.691,9.58
160201,2016,2,1,252.978,0.752,9.87
160204,2016,2,4,259.424,0.722,10.52
160218,2016,2,18,259.424,0.907,10.01
160223,2016,2,23,259.424,0.66,9.61
160225,2016,2,25,259.424,0.783,9.24
160425,2016,4,25,292.233,0.814,10.72
160426,2016,4,26,294.422,0.938,9.58
160427,2016,4,27,290.533,0.783,10.52
160428,2016,4,28,282.3,0.938,9.09
160506,2016,5,6,287.7,0.783,10.46
160510,2016,5,10,287.812,0.969,9.96
160524,2016,5,24,287.812,0.992,10.71
160702,2016,7,2,287.236,0.041,9.26
160707,2016,7,7,271.889,0.012,9.07
160708,2016,7,8,292.267,0.072,9.04
160709,2016,7,9,287.0,0.072,10.18
160811,2016,8,11,291.189,0.026,9.1
160812,2016,8,12,284.181,0.018,9.08
160825,2016,8,25,287.844,0.041,9.06
160909,2016,9,9,276.689,0.041,9.18
161016,2016,10,16,241.7,0.041,9.72
161017,2016,10,17,260.191,0.026,9.47
161018,2016,10,18,260.191,0.041,9.29
161031,2016,10,31,260.191,0.041,9.64
161117,2016,11,17,265.067,0.134,9.73
161216,2016,12,16,253.601,0.041,10.79
161220,2016,12,20,253.601,0.103,10.15
161221,2016,12,21,253.601,0.165,9.77
170103,2017,1,3,255.023,0.072,9.76
170105,2017,1,5,248.756,0.196,9.34
